Country,Code,Region,Population,GDP_billions,Land_Area,New_Cases
Saudi Arabia,SAU,Middle East,35939806,833.5412366,830000,19
Senegal,SEN,Africa,18384660,27.62538835,74336,161
Serbia,SRB,Europe,6693375,63.08204765,33768,
Seychelles,SYC,Africa,97617,1.454458184,178,0
Sierra Leone,SLE,Africa,8908040,4.042237864,27869,182
Singapore,SGP,Asia/Pacific,5975383,396.9868999,270,5
Slovakia,SVK,Europe,5425319,116.5271011,18567,0
Slovenia,SVN,Europe,2099790,61.74858653,7776,0
Solomon Islands,SLB,Asia/Pacific,714766,1.631486532,10807,32
Somalia,SOM,Middle East,12693796,7.628000011,242217,2307
South Africa,ZAF,Africa,58048332,419.0150184,468376,
South Sudan,SSD,Africa,12118379,,235890,955
Spain,ESP,Europe,47222613,1427.380681,192588,10
Sri Lanka,LKA,Asia/Pacific,23326272,88.92726372,24212,1401
Sudan,SDN,Middle East,49197555,34.32605856,681489,472
Suriname,SUR,Americas,639759,2.984706244,60232,23
Sweden,SWE,Europe,10536338,635.6638012,158433,0
Switzerland,CHE,Europe,8563760,800.6401554,15257,
Syrian Arab Republic,SYR,Middle East,22933531,,70900,0
Tajikistan,TJK,Europe,9245937,8.746270636,54039,7
Thailand,THA,Asia/Pacific,69794997,505.9470371,197256,73
Timor-Leste,TLS,Asia/Pacific,1476042,3.621222382,5741,118
Togo,TGO,Africa,8703961,8.413200568,21000,86
Tonga,TON,Asia/Pacific,105221,0.46923131,278,1
Trinidad and Tobago,TTO,Americas,1407460,24.46019627,1981,18
Tunisia,TUN,Middle East,11976182,46.68674181,59985,0
Turkey,TUR,Europe,83593483,819.0351829,297156,2
Turkmenistan,TKM,Europe,5690818,,181441,
Uganda,UGA,Africa,47729952,40.52978903,77147,581
Ukraine,UKR,Europe,43306477,200.0855377,223677,5
United Arab Emirates,ARE,Middle East,9973449,415.0215907,32278,38
United Kingdom,GBR,Europe,68138484,3131.377763,93410,
Uruguay,URY,Americas,3416264,59.31948471,67576,
Uzbekistan,UZB,Europe,31360836,69.23890311,164248,2
Vanuatu,VUT,Asia/Pacific,313046,0.956332656,4707,1
Venezuela,VEN,Americas,30518260,,340561,325
Vietnam,VNM,Asia/Pacific,104799174,366.1375906,119719,67
Yemen,YEM,Middle East,31565602,,203850,224
Zambia,ZMB,Africa,20216029,22.14763473,287024,
Zimbabwe,ZWE,Africa,15418674,28.37123867,149364,7
